Year,Rk,Name,Team,Age,Pos,Shoots,GP,G,A,P,PIM,+/-,G/GP,A/GP,P/GP,FOW,FOL,FO%,Nationality
2009-2010,1,Henrik Sedin,VAN,29,F,Left,82,29,83,112,48,35,0.354,1.012,1.366,756,771,49.51%,Sweden
2009-2010,2,Sidney Crosby,PIT,22,F,Left,81,51,58,109,71,15,0.63,0.716,1.346,1001,790,55.89%,Canada
2009-2010,3,Alexander Ovechkin,WSH,24,F,Right,72,50,59,109,89,45,0.906,0.42,1.326,10,12,45.45%,Russia
2009-2010,4,Nicklas Bäckström,WSH,22,F,Left,82,33,68,101,50,37,1.182,0.124,1.306,667,669,49.93%,Sweden
2009-2010,5,Steven Stamkos,TBL,19,F,Right,82,51,44,95,38,-2,1.458,-0.172,1.286,481,523,47.91%,Canada
2009-2010,6,Martin St. Louis,TBL,34,F,Left,82,29,65,94,12,-8,1.734,-0.468,1.266,71,86,45.22%,Canada
2009-2010,7,Brad Richards,DAL,29,F,Left,80,24,67,91,14,-12,2.01,-0.764,1.246,587,553,51.49%,Canada
2009-2010,8,Joe Thornton,SJS,30,F,Left,79,20,69,89,54,17,2.286,-1.06,1.226,662,566,53.91%,Canada
2009-2010,9,Patrick Kane,CHI,21,F,Left,82,30,58,88,20,16,2.562,-1.356,1.206,9,13,40.91%,USA
2009-2010,10,Marian Gaborik,NYR,27,F,Left,76,42,44,86,37,15,2.838,-1.652,1.186,2,5,28.57%,Slovakia
2010-2011,1,Daniel Sedin,VAN,30,F,Left,82,41,63,104,32,30,0.5,0.768,1.268,4,13,23.53%,Sweden
2010-2011,2,Martin St. Louis,TBL,35,F,Left,82,31,68,99,12,0,0.378,0.829,1.207,50,81,38.17%,Canada
2010-2011,3,Corey Perry,ANA,25,F,Right,82,50,48,98,104,9,0.61,0.585,1.195,9,13,40.91%,Canada
2010-2011,4,Henrik Sedin,VAN,30,F,Left,82,19,75,94,40,26,0.232,0.915,1.146,721,666,51.98%,Sweden
2010-2011,5,Steven Stamkos,TBL,20,F,Right,82,45,46,91,74,3,0.549,0.561,1.11,431,496,46.49%,Canada
2010-2011,6,Jarome Iginla,CGY,33,F,Right,82,43,43,86,40,0,0.524,0.524,1.049,227,193,54.05%,Canada
2010-2011,7,Alexander Ovechkin,WSH,25,F,Right,79,32,53,85,41,24,0.405,0.671,1.076,6,12,33.33%,Russia
2010-2011,8,Teemu Selänne,ANA,40,F,Right,73,31,49,80,49,6,0.425,0.671,1.096,97,121,44.50%,Finland
2010-2011,9,Henrik Zetterberg,DET,30,F,Left,80,24,56,80,40,-1,0.3,0.7,1,516,468,52.44%,Sweden
2010-2011,10,Brad Richards,DAL,30,F,Left,72,28,49,77,24,1,0.389,0.681,1.069,501,489,50.61%,Canada
2011-2012,1,Evgeni Malkin,PIT,25,F,Left,75,50,59,109,70,18,0.667,0.787,1.453,575,635,47.52%,Russia
2011-2012,2,Steven Stamkos,TBL,21,F,Right,82,60,37,97,66,7,0.732,0.451,1.183,558,669,45.48%,Canada
2011-2012,3,Claude Giroux,PHI,23,F,Right,77,28,65,93,29,6,0.364,0.844,1.208,828,715,53.66%,Canada
2011-2012,4,Jason Spezza,OTT,28,F,Right,80,34,50,84,36,11,0.425,0.625,1.05,909,791,53.47%,Canada
2011-2012,5,Ilya Kovalchuk,NJD,28,F,Right,77,37,46,83,33,-9,0.481,0.597,1.078,13,24,35.14%,Russia
2011-2012,6,Phil Kessel,TOR,24,F,Right,82,37,45,82,20,-10,0.451,0.549,1,9,19,32.14%,USA
2011-2012,7,James Neal,PIT,24,F,Left,80,40,41,81,87,6,0.5,0.513,1.013,4,11,26.67%,Canada
2011-2012,8,John Tavares,NYI,21,F,Left,82,31,50,81,26,-6,0.378,0.61,0.988,814,772,51.32%,Canada
2011-2012,9,Henrik Sedin,VAN,31,F,Left,82,14,67,81,52,23,0.171,0.817,0.988,652,650,50.08%,Sweden
2011-2012,10,Patrik Eliáš,NJD,35,F,Left,81,26,52,78,16,-8,0.321,0.642,0.963,604,765,44.12%,Czech Republic
2012-2013,1,Martin St. Louis,TBL,37,F,Left,48,17,43,60,14,0,0.354,0.896,1.25,12,16,0.4286,Canada
2012-2013,2,Steven Stamkos,TBL,22,F,Right,48,29,28,57,32,-4,0.604,0.583,1.188,406,413,0.4957,Canada
2012-2013,3,Alexander Ovechkin,WSH,27,F,Right,48,32,24,56,36,2,0.667,0.5,1.167,0,1,0,Russia
2012-2013,4,Sidney Crosby,PIT,25,F,Left,36,15,41,56,16,26,0.417,1.139,1.556,453,381,0.5432,Canada
2012-2013,5,Patrick Kane,CHI,24,F,Left,47,23,32,55,8,11,0.489,0.681,1.17,2,8,0.2,USA
2012-2013,6,Eric Staal,CAR,28,F,Left,48,18,35,53,54,5,0.375,0.729,1.104,527,487,0.5197,Canada
2012-2013,7,Chris Kunitz,PIT,33,F,Left,48,22,30,52,39,30,0.458,0.625,1.083,4,5,0.4444,Canada
2012-2013,8,Phil Kessel,TOR,25,F,Right,48,20,32,52,18,-3,0.417,0.667,1.083,5,3,0.625,USA
2012-2013,9,Taylor Hall,EDM,21,F,Left,45,16,34,50,33,5,0.356,0.756,1.111,29,24,0.5472,Canada
2012-2013,10,Ryan Getzlaf,ANA,27,F,Right,44,15,34,49,41,14,0.341,0.773,1.114,355,384,0.4804,Canada
2013-2014,1,Sidney Crosby,PIT,26,F,Left,80,36,68,104,46,18,0.45,0.85,1.3,991,896,0.5252,Canada
2013-2014,2,Ryan Getzlaf,ANA,28,F,Right,77,31,56,87,31,28,0.403,0.727,1.13,692,719,0.4904,Canada
2013-2014,3,Claude Giroux,PHI,25,F,Right,82,28,58,86,46,7,0.341,0.707,1.049,931,829,0.529,Canada
2013-2014,4,Tyler Seguin,DAL,21,F,Right,80,37,47,84,18,16,0.463,0.588,1.05,281,396,0.4151,Canada
2013-2014,5,Corey Perry,ANA,28,F,Right,81,43,39,82,65,32,0.531,0.481,1.012,9,16,0.36,Canada
2013-2014,6,Phil Kessel,TOR,26,F,Right,82,37,43,80,27,-5,0.451,0.524,0.976,2,12,0.1429,USA
2013-2014,7,Taylor Hall,EDM,22,F,Left,75,27,53,80,44,-15,0.36,0.707,1.067,37,44,0.4568,Canada
2013-2014,8,Alexander Ovechkin,WSH,28,F,Right,78,51,28,79,48,-35,0.654,0.359,1.013,2,1,0.6667,Russia
2013-2014,9,Joe Pavelski,SJS,29,F,Right,82,41,38,79,32,23,0.5,0.463,0.963,675,531,0.5597,USA
2013-2014,10,Jamie Benn,DAL,24,F,Left,81,34,45,79,64,21,0.42,0.556,0.975,411,367,0.5283,Canada
2014-2015,1,Jamie Benn,DAL,25,F,Left,82,35,52,87,64,1,0.427,0.634,1.061,298,278,51.74%,Canada
2014-2015,2,John Tavares,NYI,24,F,Left,82,38,48,86,46,5,0.463,0.585,1.049,753,689,52.22%,Canada
2014-2015,3,Sidney Crosby,PIT,27,F,Left,77,28,56,84,47,5,0.364,0.727,1.091,797,800,49.91%,Canada
2014-2015,4,Alexander Ovechkin,WSH,29,F,Right,81,53,28,81,58,10,0.654,0.346,1,2,3,40.00%,Russia
2014-2015,5,Jakub Vorácek,PHI,25,F,Left,82,22,59,81,78,1,0.268,0.72,0.988,6,3,66.67%,Czech Republic
